0,0,anonymous_0,88141,52,王曼昱：坚韧冠军，热爱乒乓球，心态顽强，赛中展现卓越技巧与拼搏精神。
1,1,anonymous_1,159,755,热衷潮流，喜爱影视，关注文化，情感丰富，善于发现美好，乐于分享感受。
2,2,anonymous_2,371,136,关注大熊猫，感性敏感，喜爱分享可爱事物，偶尔悲伤。
3,3,anonymous_3,1164,233,爱好追剧、音乐，关注电子产品，性格直爽，易感到尴尬，乐于表达情感，有经济实力。
4,4,anonymous_4,50,133,此人性格热血易怒，关注社会事件，喜欢参与转发抽奖活动，对动漫模型有收藏兴趣。
5,5,anonymous_5,88,217,热爱音乐，活泼开朗，支持受害者，与MAC合作，时尚前卫。喜好英文歌曲，充满正能量。
6,6,anonymous_6,79,319,活泼热情，关注体育特别是乒乓球，常用表情符号表达情感，期待与朋友见面。
7,7,anonymous_7,131,105,幽默风趣，关注社会热点，喜爱音乐，尤其是徐良的作品，生活态度积极向上。
8,8,anonymous_8,75,142,活泼幽默，爱好游戏与体育，关注社会话题，善于以轻松态度面对生活挑战。
9,9,anonymous_9,1014,519,乐观积极，关注社会事务，有爱心，早晚问候常态化，倾向正能量分享。
10,10,anonymous_10,59,371,关注社会热点，参与公共议题讨论，情绪丰富，对生活有期待，有一定消费意愿。
11,11,anonymous_11,1,366,关注社会问题，有同情心，直率表达观点，关注健康生活。
12,12,anonymous_12,141,5128,活泼开朗，关注娱乐节目，喜欢美食，关注天气变化，有文艺情怀。
13,13,anonymous_13,157,58,热爱足球，关注英超，不满现状，性格直率，幽默中带讽刺。
14,14,anonymous_14,90,195,游戏爱好者，情感细腻，对社会事件有观点，开放自我认同。
15,15,anonymous_15,3606,1382,注重内心感受，追求价值感，倾向躺平反思，强调心理健康，抵制负面能量。
16,16,anonymous_16,612,321,热爱生活，乐观幽默，喜欢自然和摄影，关注天气变化，乐于分享日常时光碎片。
17,17,anonymous_17,1582,1218,热情关注娱乐圈，喜爱任嘉伦、檀健次等艺人，对演技和舞蹈有高度评价，情绪表达直接，易受剧情感染。
